node_count,temperature,final_edge_count,runtime_in_ms,negative_cycle_not_detected,negative_weights_included,weight
FWSolverTest x100 iterations, 5k V, 20k E max, 4/13/2025 11:06:56 PM
10,0.5,13,6.1038,True,True,30
10,0.5,13,2.2514,False,True,50
10,0.5,13,2.3745,True,True,100
10,0.5,12,2.2928,True,False,30
10,0.5,14,2.7079,True,False,50
10,0.5,13,2.5902,True,False,100
10,1,17,2.6103,False,True,30
10,1,17,2.4523,True,True,50
10,1,17,3.066,True,True,100
10,1,16,2.2508,True,False,30
10,1,17,1.9252,True,False,50
10,1,15,1.7306,True,False,100
10,2,24,1.695,False,True,30
10,2,23,1.9996,False,True,50
10,2,21,2.1711,False,True,100
10,2,22,1.7336,True,False,30
10,2,20,1.7734,True,False,50
10,2,22,1.68,True,False,100
10,3,30,1.7057,False,True,30
10,3,26,1.681,False,True,50
10,3,30,1.6887,True,True,100
10,3,29,1.8836,True,False,30
10,3,30,2.0078,True,False,50
10,3,26,2.3367,True,False,100
100,0.5,149,192.9065,False,True,30
100,0.5,148,216.1138,False,True,50
100,0.5,149,210.0844,False,True,100
100,0.5,148,188.4724,True,False,30
100,0.5,146,192.2903,True,False,50
100,0.5,148,194.6857,True,False,100
100,1,197,191.54,False,True,30
100,1,198,174.0504,False,True,50
100,1,198,172.3134,False,True,100
100,1,197,179.7335,True,False,30
100,1,196,180.492,True,False,50
100,1,196,172.2898,True,False,100
100,2,295,179.5436,False,True,30
100,2,297,179.9417,False,True,50
100,2,295,173.2549,False,True,100
100,2,295,170.0455,True,False,30
100,2,292,170.9753,True,False,50
100,2,292,169.8818,True,False,100
100,3,390,171.2622,False,True,30
100,3,382,171.4309,False,True,50
100,3,391,168.6847,False,True,100
100,3,388,171.7133,True,False,30
100,3,386,171.252,True,False,50
100,3,394,173.3482,True,False,100
500,0.5,748,4611.5929,False,True,30
500,0.5,749,4563.1982,False,True,50
500,0.5,749,4560.9688,False,True,100
500,0.5,747,4559.2868,True,False,30
500,0.5,748,4532.7013,True,False,50
500,0.5,748,4615.9629,True,False,100
500,1,997,4683.7697,False,True,30
500,1,995,4679.5758,False,True,50
500,1,999,4586.6455,False,True,100
500,1,997,4697.337,True,False,30
500,1,998,4652.0504,True,False,50
500,1,998,4632.8926,True,False,100
500,2,1491,4633.1455,False,True,30
500,2,1495,4550.2364,False,True,50
500,2,1495,4710.2392,False,True,100
500,2,1491,4639.7899,True,False,30
500,2,1493,4528.5443,True,False,50
500,2,1489,4503.6318,True,False,100
500,3,1990,4638.2076,False,True,30
500,3,1991,4552.8391,False,True,50
500,3,1986,4583.6802,False,True,100
500,3,1985,4530.343,True,False,30
500,3,1982,4712.2326,True,False,50
500,3,1991,4640.8438,True,False,100
1000,0.5,1499,20225.9769,False,True,30
1000,0.5,1499,19691.0467,False,True,50
1000,0.5,1497,20074.3695,False,True,100
1000,0.5,1497,20074.1419,True,False,30
1000,0.5,1499,20191.6656,True,False,50
1000,0.5,1499,19954.7987,True,False,100
1000,1,1996,20201.1434,False,True,30
1000,1,1994,19882.7244,False,True,50
1000,1,1997,20527.4662,False,True,100
1000,1,1999,20341.674,True,False,30
1000,1,1996,19830.924,True,False,50
1000,1,1994,19569.2632,True,False,100
1000,2,2997,19949.9005,False,True,30
1000,2,2996,20249.764,False,True,50
1000,2,2997,19998.7379,False,True,100
1000,2,2993,20229.0047,True,False,30
1000,2,2992,19775.3459,True,False,50
1000,2,2989,20223.532,True,False,100
1000,3,3991,20000.6111,False,True,30
1000,3,3986,19956.8163,False,True,50
1000,3,3989,19931.648,False,True,100
1000,3,3991,19740.8444,True,False,30
1000,3,3989,19732.4736,True,False,50
1000,3,3989,20094.5333,True,False,100
